Date,COVID-19 Hospitalizations,Adult ICU COVID-19 Patients,Hospitalized and Ventilated COVID-19 Inpatient Count,COVID-19 Confirmed Patients Admitted - Last 24 Hours,Influenza Confirmed Patients Admitted - Last 24 Hours
12/22/2022,1028,115,47,166,34
12/21/2022,963,112,48,134,39
12/20/2022,945,114,47,140,44
12/19/2022,940,120,50,135,41
12/18/2022,901,117,50,162,38
12/17/2022,844,108,46,143,34
12/16/2022,837,104,45,146,41
12/15/2022,812,99,40,124,45
12/14/2022,783,93,37,118,47
12/13/2022,786,86,42,123,48
12/12/2022,799,86,37,98,51
12/11/2022,775,88,33,107,43
12/10/2022,731,88,37,122,34
12/9/2022,726,84,30,130,50
12/8/2022,690,81,31,103,53
12/7/2022,677,77,29,105,50
12/6/2022,701,82,31,95,60
12/5/2022,699,79,37,82,49
12/4/2022,660,75,35,85,52
12/3/2022,684,74,30,108,72
12/2/2022,660,86,36,94,79
12/1/2022,669,81,27,88,93
11/30/2022,665,85,31,100,85
11/29/2022,651,78,35,85,98
11/28/2022,656,82,35,100,105
11/27/2022,615,73,34,83,99
11/26/2022,584,65,38,85,99
11/25/2022,568,64,31,66,67
11/24/2022,551,74,32,67,81
11/23/2022,570,86,43,98,53
11/22/2022,594,87,47,85,56
11/21/2022,586,86,46,73,31
11/20/2022,533,87,42,60,57
11/19/2022,518,87,42,76,51
11/18/2022,561,91,44,78,60
11/17/2022,562,92,41,73,59
11/16/2022,553,83,42,68,56
11/15/2022,565,81,39,66,43
11/14/2022,621,80,37,77,55
11/13/2022,629,77,39,64,57
11/12/2022,587,75,35,80,54
11/11/2022,605,77,32,76,49
11/10/2022,618,64,33,92,63
11/9/2022,616,68,32,82,48
11/8/2022,648,71,29,84,60
11/7/2022,660,70,35,73,40
11/6/2022,654,66,33,79,33
11/5/2022,633,63,33,86,39
11/4/2022,645,67,31,76,44
11/3/2022,679,69,32,99,41
11/2/2022,692,77,36,96,48
11/1/2022,674,71,37,94,38
10/31/2022,678,76,32,71,42
10/30/2022,677,79,30,62,31
10/29/2022,687,81,33,96,30
10/28/2022,657,77,31,96,29
10/27/2022,708,75,27,99,42
10/26/2022,701,78,29,101,29
10/25/2022,666,73,32,86,27
10/24/2022,647,69,31,82,14
10/23/2022,608,63,36,65,9
10/22/2022,589,64,34,68,13
10/21/2022,646,62,32,82,10
10/20/2022,656,66,36,82,13
10/19/2022,704,84,45,99,9
10/18/2022,721,94,43,121,10
10/17/2022,718,98,41,80,17
10/16/2022,696,92,40,71,3
10/15/2022,689,92,43,90,3
10/14/2022,740,105,44,98,7
10/13/2022,708,112,43,99,6
10/12/2022,747,100,44,102,5
10/11/2022,758,102,37,99,4
10/10/2022,752,98,42,79,5
10/9/2022,760,99,47,88,4
10/8/2022,751,101,47,94,5
10/7/2022,774,87,43,110,1
10/6/2022,787,96,42,102,2
10/5/2022,784,88,37,117,5
10/4/2022,799,88,35,114,2
10/3/2022,802,96,33,105,3
10/2/2022,786,99,36,109,4
10/1/2022,774,99,41,110,2
9/30/2022,793,105,36,138,5
9/29/2022,839,98,35,112,3
9/28/2022,866,101,34,124,3
9/27/2022,891,109,40,131,3
9/26/2022,868,93,39,118,2
9/25/2022,872,103,39,104,1
9/24/2022,890,105,44,138,2
9/23/2022,922,107,45,148,0
9/22/2022,928,119,43,156,0
9/21/2022,921,120,49,143,0
9/20/2022,907,115,45,137,2
9/19/2022,952,103,42,134,2
9/18/2022,927,97,36,117,1
9/17/2022,953,107,37,134,0
9/16/2022,983,105,38,146,5
9/15/2022,1036,107,45,143,4
9/14/2022,1044,102,49,140,3
9/13/2022,1067,114,47,164,2
9/12/2022,1104,127,52,140,1
9/11/2022,1065,119,50,144,1
9/10/2022,1068,114,48,160,2
9/9/2022,1141,134,77,179,4
9/8/2022,1135,143,58,174,2
9/7/2022,1100,146,62,172,1
9/6/2022,1075,142,61,143,1
9/5/2022,1096,122,54,140,1
9/4/2022,1035,130,53,144,0
9/3/2022,1016,126,53,135,1
9/2/2022,1051,125,54,141,1
9/1/2022,1091,126,54,148,2
8/31/2022,1094,139,62,146,1
8/30/2022,1089,130,61,156,1
8/29/2022,1126,149,62,143,1
8/28/2022,1075,144,57,135,0
8/27/2022,1111,148,60,139,2
8/26/2022,1152,161,58,170,2
8/25/2022,1204,161,66,178,1
8/24/2022,1185,159,64,182,3
8/23/2022,1204,157,67,169,0
8/22/2022,1232,168,75,146,0
8/21/2022,1214,149,61,120,0
8/20/2022,1201,154,66,170,1
8/19/2022,1259,148,61,167,1
8/18/2022,1273,140,65,171,5
8/17/2022,1302,148,67,196,9
8/16/2022,1292,152,70,185,1
8/15/2022,1358,160,72,187,1
8/14/2022,1295,165,63,183,0
8/13/2022,1275,163,70,172,0
8/12/2022,1302,172,57,211,3
8/11/2022,1310,172,56,178,2
8/10/2022,1289,160,56,203,1
8/9/2022,1294,156,60,227,1
8/8/2022,1265,143,56,174,0
8/7/2022,1242,144,53,152,0
8/6/2022,1258,147,63,173,0
8/5/2022,1316,166,59,206,0
8/4/2022,1339,153,67,206,0
8/3/2022,1354,145,55,217,1
8/2/2022,1393,154,53,212,0
8/1/2022,1383,155,50,171,0
7/31/2022,1342,147,57,169,0
7/30/2022,1319,158,56,206,2
7/29/2022,1284,153,55,197,1
7/28/2022,1289,163,58,201,0
7/27/2022,1282,160,62,213,0
7/26/2022,1254,146,54,214,0
7/25/2022,1217,147,63,161,0
7/24/2022,1197,131,60,158,5
